Time,Rejected Sessions
0.0,0
251.0,0
328.0,0
343.0,0
511.0,0
614.0,0
906.0,0
926.0,0
943.0,0
1005.0,0
1034.0,0
1047.0,0
1086.0,0
1215.0,0
1276.0,0
1280.0,0
1296.0,0
1544.0,0
1654.0,0
1682.0,0
1691.0,0
1740.0,0
1797.0,0
1998.0,0
2089.0,0
2151.0,0
2169.0,0
2294.0,0
2482.0,0
2695.0,0
2714.0,0
2747.0,0
2774.0,0
2811.0,0
2877.0,0
3013.0,0
3335.0,0
3375.0,0
3394.0,0
3535.0,0
3547.0,0
3644.0,0
3651.0,0
3662.0,0
3671.0,0
3744.0,0
3750.0,0
3783.0,0
3868.0,0
3922.0,0
4027.0,0
4096.0,0
4153.0,0
4200.0,0
4210.0,0
4295.0,0
4355.0,0
4379.0,0
4497.0,0
4504.0,0
4519.0,0
4657.0,0
4660.0,0
4828.0,0
4846.0,0
4911.0,0
5029.0,0
5100.0,0
5110.0,0
5157.0,0
5322.0,0
5382.0,0
5403.0,0
5438.0,0
5471.0,0
5488.0,0
5573.0,0
5671.0,0
5807.0,0
5871.0,0
5896.0,0
5926.0,0
5930.0,0
5989.0,0
6017.0,0
6040.0,0
6097.0,0
6121.0,0
6241.0,0
6350.0,0
6434.0,0
6498.0,0
6649.0,0
6667.0,0
6742.0,0
6744.0,0
6766.0,0
6782.0,0
6823.0,0
6836.0,0
6847.0,0
6887.0,0
7022.0,0
7112.0,0
7180.0,0
7204.0,0
7328.0,0
7394.0,0
7478.0,0
7514.0,0
7704.0,0
7831.0,0
7839.0,0
8030.0,0
8031.0,0
8122.0,0
8137.0,0
8236.0,0
8248.0,0
8258.0,0
8281.0,0
8376.0,0
8396.0,0
8554.0,0
8625.0,0
8632.0,0
8664.0,0
8688.0,0
8730.0,0
8749.0,0
8810.0,0
8814.0,0
8873.0,0
8930.0,0
9037.0,0
9040.0,0
9057.0,0
9314.0,0
9353.0,0
9573.0,0
9857.0,0
10017.0,0
10058.0,0
10090.0,0
10132.0,0
10158.0,0
10258.0,0
10267.0,0
10291.0,0
10472.0,0
10652.0,0
10713.0,0
10826.0,0
10928.0,0
10957.0,0
10960.0,0
11096.0,0
11230.0,0
11300.0,0
11359.0,0
11447.0,0
11580.0,0
11615.0,0
11624.0,0
11628.0,0
11694.0,0
11769.0,0
11773.0,0
11788.0,0
11811.0,0
11873.0,0
11894.0,0
11902.0,0
11966.0,0
12051.0,0
12091.0,0
12352.0,0
12362.0,0
12395.0,0
12422.0,0
12429.0,0
12703.0,0
12803.0,0
12819.0,0
12844.0,0
12949.0,0
12977.0,0
13089.0,0
13168.0,0
13192.0,0
13311.0,0
13318.0,0
13322.0,0
13326.0,0
13381.0,0
13428.0,0
13437.0,0
13491.0,0
13539.0,0
13543.0,0
13619.0,0
13623.0,0
13705.0,0
13713.0,0
13867.0,0
13867.0,0
13882.0,0
13968.0,0
14036.0,0
14042.0,0
14114.0,0
14200.0,0
14266.0,0
14307.0,0
14504.0,0
14510.0,0
14512.0,0
14556.0,0
14608.0,0
14641.0,0
14643.0,0
14671.0,0
14771.0,0
14946.0,0
15082.0,0
15099.0,0
15237.0,0
15282.0,0
15312.0,0
15407.0,0
15630.0,0
15677.0,0
15677.0,0
15795.0,0
15990.0,0
16136.0,0
16325.0,0
16326.0,0
16334.0,0
16584.0,0
16654.0,0
16655.0,0
16705.0,0
16739.0,0
16856.0,0
16971.0,0
16986.0,0
17043.0,0
17110.0,0
17293.0,0
17304.0,0
17424.0,0
17433.0,0
17488.0,0
17534.0,0
17542.0,0
17678.0,0
17686.0,0
18045.0,0
18046.0,0
18085.0,0
18199.0,0
18301.0,0
18323.0,0
18331.0,0
18448.0,0
18456.0,0
18525.0,0
18606.0,0
18723.0,0
18780.0,0
18833.0,0
18844.0,0
18932.0,0
19005.0,0
19045.0,0
19081.0,0
19215.0,0
19302.0,0
19351.0,0
19376.0,0
19473.0,0
19491.0,0
19783.0,0
19791.0,0
19808.0,0
19822.0,0
19847.0,0
19968.0,0
20008.0,0
20103.0,0
20382.0,0
20450.0,0
20512.0,0
20612.0,0
20695.0,0
20767.0,0
20888.0,0
20916.0,0
20959.0,0
21101.0,0
21182.0,0
21200.0,0
21237.0,0
21237.0,0
21244.0,0
21312.0,0
21326.0,0
21601.0,0
21612.0,0
21666.0,0
21731.0,0
21768.0,0
21807.0,0
21822.0,0
21826.0,0
21939.0,0
21967.0,0
21989.0,0
22075.0,0
22119.0,0
22121.0,0
22289.0,0
22292.0,0
22375.0,0
22431.0,0
22445.0,0
22485.0,0
22639.0,0
22689.0,0
22692.0,0
22719.0,0
22886.0,0
23001.0,0
23165.0,0
23214.0,0
23464.0,0
23568.0,0
23636.0,0
23835.0,0
23878.0,0
23902.0,0
23914.0,0
23992.0,0
24073.0,0
24085.0,0
24122.0,0
24215.0,0
24216.0,0
24237.0,0
24339.0,0
24499.0,0
24568.0,0
24603.0,0
24612.0,0
24615.0,0
24618.0,0
24696.0,0
24716.0,0
24718.0,0
24793.0,0
24841.0,0
24877.0,0
25005.0,0
25020.0,0
25087.0,0
25096.0,0
25336.0,0
25399.0,0
25516.0,0
25554.0,0
25579.0,0
25621.0,0
25846.0,0
25906.0,0
25940.0,0
25963.0,0
25975.0,0
25989.0,0
25990.0,0
26075.0,0
26111.0,0
26165.0,0
26181.0,0
26185.0,0
26213.0,0
26221.0,0
26273.0,0
26311.0,0
26409.0,0
26543.0,0
26551.0,0
26763.0,0
26791.0,0
26906.0,0
26926.0,0
26982.0,0
27021.0,0
27136.0,0
27161.0,0
27349.0,0
27354.0,0
27413.0,0
27456.0,0
27463.0,0
27487.0,0
27527.0,0
27560.0,0
27594.0,0
27693.0,0
27779.0,0
27874.0,0
27932.0,0
27963.0,0
27997.0,0
28112.0,0
28124.0,0
28162.0,0
28172.0,0
28181.0,0
28233.0,0
28415.0,0
28541.0,0
28576.0,0
28592.0,0
28615.0,0
28629.0,0
28644.0,0
28672.0,0
28862.0,0
28924.0,0
29005.0,0
29261.0,0
29277.0,0
29282.0,0
29304.0,0
29472.0,0
29497.0,0
29590.0,0
29658.0,0
29686.0,0
29704.0,0
29751.0,0
29775.0,0
29854.0,0
29908.0,0
29915.0,0
29927.0,0
29982.0,0
29987.0,0
30000.0,0
30149.0,0
30384.0,0
30523.0,0
30619.0,0
30695.0,0
30740.0,0
30794.0,0
30962.0,0
31242.0,0
31352.0,0
31369.0,0
31482.0,0
31533.0,0
31636.0,0
31649.0,0
31769.0,0
31784.0,0
31807.0,0
31870.0,0
31925.0,0
31987.0,0
32047.0,0
32162.0,0
32304.0,0
32344.0,0
32374.0,0
32396.0,0
32433.0,0
32479.0,0
32625.0,0
32649.0,0
32691.0,0
32773.0,0
32826.0,0
33008.0,0
33042.0,0
33044.0,0
33082.0,0
33174.0,0
33203.0,0
33238.0,0
33274.0,0
33291.0,0
33368.0,0
33400.0,0
33463.0,0
33514.0,0
33585.0,0
33760.0,0
33904.0,0
33973.0,0
33983.0,0
34057.0,0
34061.0,0
34104.0,0
34118.0,0
34225.0,0
34311.0,0
34377.0,0
34413.0,0
34613.0,0
34656.0,0
34810.0,0
34902.0,0
34976.0,0
35055.0,0
35162.0,0
35193.0,0
35203.0,0
35220.0,0
35227.0,0
35297.0,0
35423.0,0
35438.0,0
35511.0,0
35525.0,0
35567.0,0
35603.0,0
35715.0,0
35869.0,0
35875.0,0
35932.0,0
35943.0,0
35954.0,0
35969.0,0
36096.0,0
36113.0,0
36244.0,0
36308.0,0
36369.0,0
36412.0,0
36447.0,0
36448.0,0
36491.0,0
36702.0,0
36738.0,0
36789.0,0
36840.0,0
36857.0,0
36859.0,0
36903.0,0
36941.0,0
36973.0,0
37025.0,0
37093.0,0
37105.0,0
37116.0,0
37387.0,0
37426.0,0
37432.0,0
37520.0,0
37685.0,0
37828.0,0
37879.0,0
37913.0,0
37989.0,0
38105.0,0
38193.0,0
38296.0,0
38311.0,0
38314.0,0
38368.0,0
38374.0,0
38425.0,0
38474.0,0
38543.0,0
38545.0,0
38560.0,0
38680.0,0
38804.0,0
38831.0,0
38867.0,0
38875.0,0
38890.0,0
38903.0,0
38956.0,0
38969.0,0
38980.0,0
38989.0,0
39001.0,0
39094.0,0
39096.0,0
39104.0,0
39121.0,0
39144.0,0
39164.0,0
39168.0,0
39228.0,0
39330.0,0
39373.0,0
39393.0,0
39438.0,0
39582.0,0
39590.0,0
39593.0,0
39666.0,0
39767.0,0
39852.0,0
39887.0,0
39927.0,0
39954.0,0
39998.0,0
40046.0,0
40090.0,0
40161.0,0
40176.0,0
40185.0,0
40237.0,0
40279.0,0
40294.0,0
40307.0,0
40354.0,0
40363.0,0
40370.0,0
40498.0,0
40500.0,0
40541.0,0
40566.0,0
40591.0,0
40742.0,0
40757.0,0
40805.0,0
40832.0,0
40880.0,0
40975.0,0
41037.0,0
41109.0,0
41137.0,0
41177.0,0
41322.0,0
41325.0,0
41326.0,0
41461.0,0
41488.0,0
41518.0,0
41593.0,0
41594.0,0
41686.0,0
41713.0,0
41761.0,0
41891.0,0
41893.0,0
41932.0,0
41937.0,0
42044.0,0
42049.0,0
42050.0,0
42127.0,0
42169.0,0
42206.0,0
42236.0,0
42290.0,0
42521.0,0
42542.0,0
42568.0,0
42573.0,0
42626.0,0
42649.0,0
42745.0,0
42754.0,0
42772.0,0
42779.0,0
42837.0,0
42885.0,0
42959.0,0
43028.0,0
43028.0,0
43127.0,0
43171.0,0
43202.0,0
43211.0,0
43224.0,0
43226.0,0
43274.0,0
43340.0,0
43450.0,0
43540.0,0
43698.0,0
43755.0,0
44122.0,0
44126.0,0
44126.0,0
44343.0,0
44382.0,0
44413.0,0
44416.0,0
44431.0,0
44434.0,0
44446.0,0
44742.0,0
44796.0,0
44813.0,0
44848.0,0
44894.0,0
44952.0,0
45100.0,0
45176.0,0
45187.0,0
45218.0,0
45287.0,0
45395.0,0
45427.0,0
45435.0,0
45558.0,0
45568.0,0
45640.0,0
45646.0,0
45720.0,0
45723.0,0
45725.0,0
45788.0,0
45910.0,0
45922.0,0
45958.0,0
46001.0,0
46084.0,0
46127.0,0
46152.0,0
46238.0,0
46303.0,0
46371.0,0
46430.0,0
46466.0,0
46476.0,0
46588.0,0
46598.0,0
46627.0,0
46650.0,0
46652.0,0
46699.0,0
46794.0,0
46883.0,0
46919.0,0
46979.0,0
46986.0,0
47044.0,0
47052.0,0
47105.0,0
47138.0,0
47229.0,0
47263.0,0
47282.0,0
47298.0,0
47302.0,0
47320.0,0
47408.0,0
47468.0,0
47485.0,0
47503.0,0
47539.0,0
47684.0,0
47829.0,0
47922.0,0
48035.0,0
48047.0,0
48048.0,0
48064.0,0
48095.0,0
48183.0,0
48197.0,0
48219.0,0
48284.0,0
48353.0,0
48357.0,0
48408.0,0
48532.0,0
48544.0,0
48677.0,0
48677.0,0
48687.0,0
48775.0,0
48801.0,0
48804.0,0
48882.0,0
48943.0,0
49010.0,0
49054.0,0
49080.0,0
49138.0,0
49159.0,0
49166.0,0
49191.0,0
49223.0,0
49259.0,0
49298.0,0
49334.0,0
49404.0,0
49484.0,0
49509.0,0
49580.0,0
49604.0,0
49670.0,0
49693.0,0
49776.0,0
49839.0,0
49841.0,0
49886.0,0
49991.0,0
50066.0,0
50086.0,0
50203.0,0
50223.0,0
50244.0,0
50260.0,0
50381.0,0
50384.0,0
50396.0,0
50507.0,0
50510.0,0
50519.0,0
50652.0,0
50712.0,0
50741.0,0
50862.0,0
50919.0,0
51031.0,0
51033.0,0
51073.0,0
51099.0,0
51164.0,0
51174.0,0
51176.0,0
51239.0,0
51243.0,0
51274.0,0
51328.0,0
51499.0,0
51510.0,0
51730.0,0
51736.0,0
51839.0,0
51881.0,0
51912.0,0
51993.0,0
52140.0,0
52165.0,0
52193.0,0
52353.0,0
52455.0,0
52464.0,0
52467.0,0
52470.0,0
52503.0,0
52626.0,0
52676.0,0
52684.0,0
52886.0,0
52955.0,0
53155.0,0
53164.0,0
53215.0,0
53347.0,0
53364.0,0
53368.0,0
53464.0,0
53491.0,0
53501.0,0
53505.0,0
53511.0,0
53561.0,0
53589.0,0
53745.0,0
53830.0,0
53844.0,0
53857.0,0
53901.0,0
53923.0,0
53926.0,0
53965.0,0
54019.0,0
54037.0,0
54162.0,0
54211.0,0
54301.0,0
54318.0,0
54335.0,0
54401.0,0
54404.0,0
54484.0,0
54539.0,0
54551.0,0
54598.0,0
54655.0,0
54655.0,0
54694.0,0
54728.0,0
54795.0,0
54832.0,0
54862.0,0
54904.0,0
54913.0,0
54920.0,0
54975.0,0
55004.0,0
55168.0,0
55172.0,0
55182.0,0
55326.0,0
55340.0,0
55498.0,0
55542.0,0
55600.0,0
55702.0,0
55703.0,0
55764.0,0
55800.0,0
55807.0,0
55819.0,0
55917.0,0
55936.0,0
55946.0,0
56049.0,0
56146.0,0
56203.0,0
56256.0,0
56279.0,0
56309.0,0
56344.0,0
56364.0,0
56515.0,0
56626.0,0
56650.0,0
56734.0,0
56740.0,0
56791.0,0
56842.0,0
56907.0,0
56979.0,0
57030.0,0
57078.0,0
57121.0,0
57124.0,0
57207.0,0
57317.0,0
57323.0,0
57338.0,0
57359.0,0
57394.0,0
57476.0,0
57486.0,0
57489.0,0
57524.0,0
57582.0,0
57654.0,0
57667.0,0
57688.0,0
57961.0,0
57974.0,0
57994.0,0
58060.0,0
58066.0,0
58156.0,0
58244.0,0
58245.0,0
58340.0,0
58343.0,0
58395.0,0
58504.0,0
58551.0,0
58573.0,0
58590.0,0
58594.0,0
58667.0,0
58775.0,0
58838.0,0
58948.0,0
58948.0,0
58981.0,0
58994.0,0
59010.0,0
59069.0,0
59089.0,0
59106.0,0
59173.0,0
59185.0,0
59197.0,0
59202.0,0
59273.0,0
59329.0,0
59385.0,0
59408.0,0
59425.0,0
59430.0,0
59482.0,0
59653.0,0
59714.0,0
59789.0,0
59831.0,0
59831.0,0
59856.0,0
59889.0,0
59901.0,0
59940.0,0
59952.0,0
59959.0,0
60021.0,0
60169.0,0
60193.0,0
60230.0,0
60296.0,0
60312.0,0
60363.0,0
60424.0,0
60478.0,0
60580.0,0
60615.0,0
60655.0,0
60778.0,0
60784.0,0
60794.0,0
60799.0,0
60835.0,0
60888.0,0
60889.0,0
60946.0,0
60954.0,0
60967.0,0
61009.0,0
61029.0,0
61040.0,0
61055.0,0
61218.0,0
61267.0,0
61312.0,0
61326.0,0
61340.0,0
61436.0,0
61575.0,0
61620.0,0
61868.0,0
61873.0,0
61879.0,0
62042.0,0
62087.0,0
62103.0,0
62145.0,0
62149.0,0
62170.0,0
62181.0,0
62195.0,0
62198.0,0
62300.0,0
62394.0,0
62403.0,0
62452.0,0
62469.0,0
62588.0,0
62621.0,0
62717.0,0
62798.0,0
62869.0,0
62991.0,0
63036.0,0
63092.0,0
63187.0,0
63188.0,0
63197.0,0
63229.0,0
63277.0,0
63335.0,0
63365.0,0
63403.0,0
63450.0,0
63455.0,0
63460.0,0
63504.0,0
63632.0,0
63744.0,0
63788.0,0
63880.0,0
63968.0,0
64000.0,0
64025.0,0
64048.0,0
64059.0,0
64060.0,0
64079.0,0
64099.0,0
64170.0,0
64198.0,0
64199.0,0
64249.0,0
64288.0,0
64295.0,0
64341.0,0
64387.0,0
64412.0,0
64439.0,0
64587.0,0
64605.0,0
64637.0,0
64660.0,0
64695.0,0
64738.0,0
64750.0,0
64802.0,0
64890.0,0
64923.0,0
64937.0,0
65029.0,0
65031.0,0
65032.0,0
65050.0,0
65102.0,0
65176.0,0
65223.0,0
