Time,Active PDUs
0.0,0
110.0,1
125.0,2
202.0,3
494.0,4
511.0,5
573.0,6
652.0,7
691.0,8
710.0,9
714.0,10
720.0,11
858.0,12
955.0,13
1012.0,14
1037.0,15
1099.0,16
1391.0,17
1579.0,18
1587.0,19
1620.0,20
1768.0,21
1834.0,22
1841.0,23
1860.0,24
1963.0,25
1970.0,26
2136.0,27
2137.0,28
2142.0,27
2251.0,28
2305.0,29
2425.0,30
2482.0,31
2485.0,32
2570.0,33
2762.0,34
2769.0,33
2887.0,34
2916.0,35
3054.0,36
3117.0,37
3190.0,36
3255.0,37
3287.0,38
3334.0,39
3335.0,40
3356.0,41
3595.0,42
3697.0,43
3971.0,44
4001.0,45
4080.0,46
4108.0,47
4122.0,48
4146.0,49
4169.0,50
4253.0,51
4261.0,52
4279.0,53
4374.0,54
4396.0,55
4494.0,56
4507.0,57
4723.0,58
4813.0,59
4876.0,60
5066.0,61
5101.0,62
5211.0,63
5291.0,62
5377.0,63
5568.0,64
5577.0,65
5592.0,66
5680.0,67
5703.0,68
5791.0,69
5862.0,70
5888.0,71
5930.0,72
6062.0,73
6119.0,74
6147.0,75
6164.0,76
6361.0,77
6370.0,76
6590.0,77
6867.0,78
6908.0,79
6924.0,80
7024.0,81
7104.0,82
7165.0,83
7265.0,84
7294.0,85
7378.0,86
7463.0,85
7522.0,86
7623.0,87
7658.0,88
7730.0,89
7796.0,90
7799.0,91
7837.0,92
7960.0,93
7968.0,94
8033.0,95
8164.0,96
8194.0,95
8344.0,94
8477.0,95
8484.0,96
8635.0,97
8651.0,98
8674.0,99
8718.0,98
8746.0,99
8814.0,100
8838.0,101
8840.0,102
8844.0,103
8898.0,104
8952.0,105
8995.0,106
8999.0,107
9058.0,108
9073.0,109
9076.0,110
9117.0,111
9148.0,110
9200.0,111
9241.0,112
9260.0,113
9262.0,114
9269.0,115
9271.0,116
9282.0,117
9429.0,118
9457.0,117
9485.0,118
9561.0,119
9623.0,118
9662.0,119
9703.0,120
9741.0,119
9768.0,118
9772.0,117
9885.0,116
10001.0,117
10196.0,118
10229.0,119
10230.0,120
10263.0,121
10334.0,122
10363.0,123
10480.0,124
10488.0,125
10555.0,126
10592.0,127
10622.0,128
10642.0,127
10712.0,126
10720.0,127
10780.0,128
10864.0,127
10872.0,128
10911.0,129
11267.0,130
11275.0,131
11322.0,132
11379.0,133
11384.0,134
11472.0,135
11707.0,136
11745.0,135
11915.0,136
11917.0,137
11950.0,138
12102.0,137
12109.0,138
12171.0,139
12222.0,140
12415.0,141
12494.0,142
12666.0,141
12733.0,142
12747.0,141
12799.0,142
12806.0,143
12855.0,144
12906.0,143
13047.0,144
13249.0,145
13357.0,146
13515.0,147
13582.0,146
13585.0,147
13949.0,148
13989.0,149
14046.0,150
14141.0,149
14168.0,150
14223.0,151
14308.0,150
14376.0,151
14534.0,152
14546.0,153
14568.0,154
14605.0,155
14632.0,156
14667.0,155
14741.0,156
14827.0,155
15002.0,156
15005.0,157
15010.0,158
15107.0,157
15109.0,158
15151.0,159
15187.0,160
15230.0,161
15479.0,162
15536.0,163
15863.0,164
15878.0,165
15947.0,164
15959.0,165
