Time,Session ID
53701.0,1413
53721.0,1414
53747.0,1416
53766.0,1417
53794.0,1418
54336.0,1427
54339.0,1428
54515.0,1431
54529.0,1432
55101.0,1443
55107.0,1444
55126.0,1445
55544.0,1455
55576.0,1457
55596.0,1458
55615.0,1459
55712.0,1463
55883.0,1468
56073.0,1471
56099.0,1472
56255.0,1476
56299.0,1477
56436.0,1481
56718.0,1486
56744.0,1488
56750.0,1489
56832.0,1490
56841.0,1491
56902.0,1493
56927.0,1494
57504.0,1513
57533.0,1514
57553.0,1515
57594.0,1516
59089.0,1546
59260.0,1550
59285.0,1551
59293.0,1552
59302.0,1553
59338.0,1554
59407.0,1555
59478.0,1556
59496.0,1557
59501.0,1558
59503.0,1559
59672.0,1562
59720.0,1564
59743.0,1565
59771.0,1566
59783.0,1567
59878.0,1569
59919.0,1570
59931.0,1571
59946.0,1572
59968.0,1573
59971.0,1574
59981.0,1575
60231.0,1582
60251.0,1583
60274.0,1584
60351.0,1585
60435.0,1587
60446.0,1588
60521.0,1589
60538.0,1590
60617.0,1592
60628.0,1593
60748.0,1596
60753.0,1597
60774.0,1599
60813.0,1600
60937.0,1602
60948.0,1603
61022.0,1604
61079.0,1605
61158.0,1607
61224.0,1609
61251.0,1610
61295.0,1612
61297.0,1613
61424.0,1615
61430.0,1616
61600.0,1618
61607.0,1619
61695.0,1621
61734.0,1622
61769.0,1623
61775.0,1624
61789.0,1625
61835.0,1626
61844.0,1627
61852.0,1628
61869.0,1629
61952.0,1631
61960.0,1633
61986.0,1634
62205.0,1639
62221.0,1640
62268.0,1642
62338.0,1644
62364.0,1645
62414.0,1647
62432.0,1648
62633.0,1654
62733.0,1657
62787.0,1659
62789.0,1660
62831.0,1661
62838.0,1662
62889.0,1663
62941.0,1666
62961.0,1667
62977.0,1668
63057.0,1670
63087.0,1671
63097.0,1672
63129.0,1673
63151.0,1674
63254.0,1675
63257.0,1676
63271.0,1677
63344.0,1679
63443.0,1680
63452.0,1681
63488.0,1682
63749.0,1690
63775.0,1691
63830.0,1693
63835.0,1694
63847.0,1696
63849.0,1697
63854.0,1698
63926.0,1699
63928.0,1700
63966.0,1702
64113.0,1705
64139.0,1706
64154.0,1707
64180.0,1708
64354.0,1713
64360.0,1714
64381.0,1715
64470.0,1716
64485.0,1717
64548.0,1719
64558.0,1720
64574.0,1721
64800.0,1725
64804.0,1726
64823.0,1727
65042.0,1731
65123.0,1733
65660.0,1743
65681.0,1744
65709.0,1745
66556.0,1763
66658.0,1766
66916.0,1770
67041.0,1772
67060.0,1774
67063.0,1775
67070.0,1776
67112.0,1779
67113.0,1780
67117.0,1781
67147.0,1782
67170.0,1783
67681.0,1790
67703.0,1791
67828.0,1793
67856.0,1794
67897.0,1795
68751.0,1814
68754.0,1815
68792.0,1816
68827.0,1818
68845.0,1819
68964.0,1820
68967.0,1821
68995.0,1822
69067.0,1823
69082.0,1824
69083.0,1825
69129.0,1826
69194.0,1827
69349.0,1830
69382.0,1831
69398.0,1832
69431.0,1833
69434.0,1834
69449.0,1835
69470.0,1837
69622.0,1840
69662.0,1841
69664.0,1842
69692.0,1844
69864.0,1850
70890.0,1865
71068.0,1869
71092.0,1870
71159.0,1871
71374.0,1876
71491.0,1881
71504.0,1882
71542.0,1883
71586.0,1884
71592.0,1885
71676.0,1887
71710.0,1888
71757.0,1889
71810.0,1890
71852.0,1892
71900.0,1893
71927.0,1894
72142.0,1901
72154.0,1902
72506.0,1910
72548.0,1911
72593.0,1912
72595.0,1913
72628.0,1914
72635.0,1915
72797.0,1917
72856.0,1918
72895.0,1919
72910.0,1920
