Time,Busy UPFs
0.0,0
116.0,1
152.0,1
159.0,1
237.0,1
285.0,1
420.0,2
430.0,2
438.0,2
467.0,2
481.0,2
487.0,2
505.0,2
565.0,2
593.0,3
595.0,3
603.0,3
718.0,3
782.0,3
786.0,3
809.0,3
836.0,3
929.0,4
971.0,4
1000.0,4
1008.0,4
1066.0,4
1153.0,4
1252.0,4
1261.0,4
1277.0,5
1290.0,5
1307.0,5
1325.0,5
1338.0,5
1401.0,5
1568.0,5
1577.0,5
1642.0,5
1693.0,5
1696.0,6
1701.0,6
1739.0,6
1742.0,6
1758.0,6
1798.0,6
1823.0,6
1854.0,6
1872.0,6
1904.0,7
1931.0,7
1953.0,7
1958.0,7
1997.0,7
2025.0,7
2037.0,7
2092.0,7
2096.0,7
2103.0,8
2167.0,8
2246.0,8
2254.0,8
2284.0,8
2372.0,8
2377.0,8
2399.0,8
2475.0,9
2503.0,9
2513.0,9
2529.0,9
2545.0,9
2586.0,9
2592.0,9
2730.0,9
2742.0,9
2756.0,9
2758.0,10
2785.0,10
2798.0,10
2809.0,10
2824.0,10
2835.0,10
2846.0,10
2902.0,10
2953.0,10
2992.0,10
3022.0,11
3092.0,11
3100.0,11
3135.0,11
3136.0,11
3146.0,11
3151.0,11
3154.0,11
3173.0,11
3179.0,11
3184.0,12
3241.0,12
3265.0,12
3307.0,12
3339.0,12
3350.0,12
3438.0,12
3477.0,12
3494.0,12
3555.0,12
3576.0,12
3582.0,11
3641.0,12
3645.0,12
3734.0,12
3735.0,12
3777.0,12
3784.0,12
3830.0,12
3840.0,12
3851.0,12
3904.0,13
3967.0,13
3977.0,13
4010.0,13
4028.0,13
4031.0,13
4039.0,13
4059.0,13
4098.0,13
4125.0,13
4152.0,13
4202.0,13
4203.0,14
4211.0,14
4330.0,14
4348.0,14
4450.0,14
4581.0,14
4655.0,14
4674.0,14
4689.0,15
4721.0,15
4767.0,15
4771.0,15
4949.0,15
4978.0,15
5030.0,15
5077.0,15
5091.0,16
5127.0,16
5155.0,16
5182.0,16
5250.0,16
5275.0,16
5277.0,16
5318.0,16
5380.0,16
5396.0,16
5400.0,16
5402.0,16
5428.0,16
5433.0,16
5468.0,17
5470.0,17
5488.0,17
5517.0,17
5527.0,17
5531.0,17
