Time,UPFs
0.0,0
137.0,1
179.0,1
187.0,1
279.0,1
335.0,2
495.0,2
506.0,2
516.0,2
550.0,2
566.0,2
573.0,2
594.0,2
664.0,3
697.0,3
700.0,3
709.0,3
845.0,3
921.0,3
926.0,3
953.0,3
985.0,4
1095.0,4
1145.0,4
1179.0,4
1189.0,4
1257.0,4
1360.0,4
1375.0,4
1476.0,4
1486.0,4
1504.0,5
1519.0,5
1540.0,5
1576.0,5
1650.0,5
1848.0,5
1859.0,5
1936.0,5
1996.0,6
2000.0,6
2006.0,6
2051.0,6
2054.0,6
2072.0,6
2119.0,6
2136.0,6
2149.0,6
2206.0,6
2244.0,7
2275.0,7
2301.0,7
2307.0,7
2353.0,7
2386.0,7
2400.0,7
2465.0,7
2469.0,8
2477.0,8
2553.0,8
2647.0,8
2657.0,8
2693.0,8
2735.0,8
2796.0,8
2802.0,8
2828.0,8
2918.0,9
2951.0,9
2963.0,9
2982.0,9
3000.0,9
3056.0,9
3179.0,9
3219.0,9
3233.0,9
3250.0,9
3252.0,10
3267.0,10
3284.0,10
3299.0,10
3312.0,10
3343.0,10
3356.0,10
3422.0,10
3482.0,10
3528.0,10
3563.0,11
3589.0,11
3645.0,11
3655.0,11
3696.0,11
3697.0,11
3709.0,11
3718.0,11
3741.0,11
3748.0,11
3754.0,12
3801.0,12
3850.0,12
3900.0,12
3904.0,12
3937.0,12
3950.0,12
4054.0,12
4073.0,12
4100.0,12
4120.0,12
4224.0,12
4293.0,12
4297.0,12
4402.0,13
4403.0,13
4453.0,13
4461.0,13
4515.0,13
4527.0,13
4540.0,13
4603.0,13
4689.0,14
4707.0,14
4728.0,14
4749.0,14
4762.0,14
4785.0,14
4831.0,14
4863.0,14
4894.0,14
4953.0,14
4955.0,15
4964.0,15
5104.0,15
5126.0,15
5246.0,15
5401.0,15
5489.0,15
5512.0,15
5524.0,16
5530.0,16
5567.0,16
5622.0,16
5627.0,16
5737.0,16
5837.0,16
5871.0,16
5905.0,16
5927.0,16
5933.0,16
5989.0,16
6005.0,16
6081.0,16
6109.0,16
6193.0,16
6225.0,16
6273.0,16
6346.0,17
6365.0,17
6370.0,17
6372.0,17
6408.0,17
6449.0,17
6451.0,17
6472.0,17
6506.0,18
6518.0,18
6523.0,18
6558.0,18
6605.0,18
6775.0,18
6793.0,18
6808.0,18
6812.0,19
6962.0,19
7017.0,19
7026.0,19
7040.0,19
7097.0,19
7112.0,19
7173.0,19
7217.0,20
7230.0,20
7295.0,20
7301.0,20
7303.0,20
7359.0,20
7364.0,20
7394.0,20
7420.0,21
7461.0,21
7464.0,21
7467.0,21
7512.0,21
7601.0,21
7610.0,21
7657.0,21
7698.0,21
7737.0,21
7784.0,22
7820.0,22
7843.0,22
7951.0,22
7955.0,22
7956.0,22
7998.0,22
8009.0,22
8020.0,22
8027.0,22
8029.0,22
8045.0,22
8096.0,23
8100.0,23
8196.0,23
8270.0,23
8279.0,23
8295.0,23
8354.0,23
8379.0,23
8448.0,23
8518.0,23
8570.0,23
8596.0,23
8660.0,23
8661.0,23
8766.0,23
8837.0,23
8846.0,23
8949.0,23
8950.0,24
8955.0,24
9001.0,24
9092.0,24
9131.0,24
9159.0,24
9171.0,24
9177.0,24
9178.0,24
9242.0,24
9313.0,24
9345.0,24
9348.0,24
9382.0,24
9482.0,24
9488.0,24
9554.0,25
9559.0,25
9614.0,25
9646.0,25
9656.0,25
9693.0,25
9697.0,25
9753.0,25
9894.0,25
9916.0,25
10050.0,25
10114.0,25
10118.0,25
10156.0,25
10264.0,26
10295.0,26
10324.0,26
10330.0,26
10378.0,26
10418.0,26
10440.0,26
10533.0,26
10540.0,27
10684.0,27
10844.0,27
10866.0,27
10945.0,27
11139.0,27
11171.0,27
11208.0,27
11242.0,27
11270.0,27
11296.0,27
11297.0,27
11342.0,27
11448.0,27
11463.0,27
11564.0,27
11608.0,27
11618.0,27
11638.0,28
11642.0,28
11702.0,28
11801.0,28
11837.0,28
11872.0,28
11949.0,28
11958.0,28
12037.0,28
12096.0,28
12121.0,28
12213.0,28
12215.0,29
12291.0,29
12299.0,29
12310.0,29
12321.0,29
12405.0,29
12434.0,29
12449.0,29
12540.0,29
12912.0,29
12917.0,30
12949.0,30
13050.0,30
13081.0,30
13094.0,30
13101.0,30
13112.0,30
13144.0,30
13195.0,30
13216.0,30
13222.0,30
13267.0,30
13267.0,30
13267.0,30
13335.0,30
13384.0,30
13392.0,30
13422.0,30
13460.0,30
13484.0,30
13486.0,30
13531.0,30
13542.0,30
13543.0,30
13584.0,31
13611.0,31
13631.0,31
13701.0,31
13746.0,31
13774.0,31
13882.0,31
13952.0,31
14001.0,31
14015.0,31
14095.0,31
14102.0,31
14130.0,31
14193.0,31
14212.0,31
14225.0,31
14232.0,31
14240.0,31
14287.0,32
14307.0,32
14333.0,32
14337.0,32
14346.0,32
14348.0,32
14363.0,32
14368.0,32
14397.0,32
14418.0,32
14472.0,33
14527.0,33
14546.0,33
14550.0,33
14666.0,33
14681.0,33
14744.0,33
14755.0,33
14786.0,33
14807.0,33
14816.0,34
14870.0,34
14884.0,34
14987.0,34
15005.0,34
15022.0,34
15049.0,34
15062.0,34
15084.0,34
15102.0,34
15121.0,34
15222.0,34
15274.0,35
15306.0,35
15342.0,35
15351.0,35
15405.0,35
15412.0,35
15433.0,35
15456.0,35
15472.0,35
15533.0,35
15668.0,35
15681.0,35
