Time,Idle UPFs
0.0,0
137.0,0
179.0,0
187.0,0
279.0,0
335.0,1
495.0,0
506.0,0
516.0,0
550.0,0
566.0,0
573.0,0
594.0,0
664.0,1
697.0,0
700.0,0
709.0,0
845.0,0
921.0,0
926.0,0
953.0,0
985.0,1
1095.0,0
1145.0,0
1179.0,0
1189.0,0
1257.0,0
1360.0,0
1375.0,0
1476.0,0
1486.0,0
1504.0,1
1519.0,0
1540.0,0
1576.0,0
1650.0,0
1848.0,0
1859.0,0
1936.0,0
1996.0,1
2000.0,0
2006.0,0
2051.0,0
2054.0,0
2072.0,0
2119.0,0
2136.0,0
2149.0,0
2206.0,0
2244.0,1
2275.0,0
2301.0,0
2307.0,0
2353.0,0
2386.0,0
2400.0,0
2465.0,0
2469.0,1
2477.0,0
2553.0,0
2647.0,0
2657.0,0
2693.0,0
2735.0,0
2796.0,0
2802.0,0
2828.0,0
2918.0,1
2951.0,0
2963.0,0
2982.0,0
3000.0,0
3056.0,0
3179.0,0
3219.0,0
3233.0,0
3250.0,0
3252.0,1
3267.0,0
3284.0,0
3299.0,0
3312.0,0
3343.0,0
3356.0,0
3422.0,0
3482.0,0
3528.0,0
3563.0,1
3589.0,0
3645.0,0
3655.0,0
3696.0,0
3697.0,0
3709.0,0
3718.0,0
3741.0,0
3748.0,0
3754.0,1
3801.0,0
3850.0,0
3900.0,0
3904.0,0
3937.0,0
3950.0,0
4054.0,0
4073.0,0
4100.0,0
4120.0,0
4224.0,0
4293.0,0
4297.0,0
4402.0,1
4403.0,0
4453.0,0
4461.0,0
4515.0,0
4527.0,0
4540.0,0
4603.0,0
4689.0,1
4707.0,0
4728.0,0
4749.0,0
4762.0,0
4785.0,0
4831.0,0
4863.0,0
4894.0,0
4953.0,0
4955.0,1
4964.0,0
5104.0,0
5126.0,0
5246.0,0
5401.0,0
5489.0,0
5512.0,0
5524.0,1
5530.0,1
5567.0,0
5622.0,0
5627.0,0
5737.0,0
5837.0,0
5871.0,0
5905.0,0
5927.0,0
5933.0,0
5989.0,0
6005.0,0
6081.0,0
6109.0,0
6193.0,0
6225.0,0
6273.0,0
6346.0,1
6365.0,0
6370.0,0
6372.0,0
6408.0,0
6449.0,0
6451.0,0
6472.0,0
6506.0,1
6518.0,0
6523.0,0
6558.0,0
6605.0,0
6775.0,0
6793.0,0
6808.0,0
6812.0,1
6962.0,0
7017.0,0
7026.0,0
7040.0,0
7097.0,0
7112.0,0
7173.0,0
7217.0,1
7230.0,0
7295.0,0
7301.0,0
7303.0,0
7359.0,0
7364.0,0
7394.0,0
7420.0,1
7461.0,0
7464.0,0
7467.0,0
7512.0,0
7601.0,0
7610.0,0
7657.0,0
7698.0,0
