Time,Active PDUs
0.0,0
189.0,1
247.0,2
258.0,3
384.0,4
461.0,5
680.0,6
695.0,7
708.0,8
755.0,9
777.0,10
787.0,11
816.0,12
913.0,13
959.0,14
962.0,15
974.0,16
1160.0,17
1264.0,18
1271.0,19
1308.0,20
1351.0,21
1501.0,22
1502.0,21
1570.0,22
1616.0,23
1629.0,24
1723.0,25
1864.0,26
2024.0,27
2038.0,28
2063.0,29
2083.0,30
2111.0,31
2160.0,32
2262.0,33
2533.0,34
2547.0,35
2653.0,36
2735.0,37
2740.0,38
2748.0,39
2810.0,40
2815.0,41
2824.0,42
2840.0,41
2904.0,42
2944.0,43
3023.0,44
3075.0,45
3101.0,46
3118.0,45
3153.0,46
3161.0,47
3225.0,48
3250.0,49
3270.0,48
3288.0,49
3377.0,50
3383.0,51
3394.0,52
3498.0,53
3627.0,54
3640.0,55
3689.0,56
3831.0,57
3839.0,58
3874.0,59
3998.0,60
4043.0,61
4059.0,62
4085.0,63
4110.0,64
4186.0,65
4338.0,66
4347.0,65
4353.0,64
4409.0,63
4428.0,64
4441.0,65
4451.0,64
4454.0,65
4498.0,66
4519.0,67
4537.0,68
4580.0,69
4598.0,70
4688.0,71
4758.0,72
4770.0,71
4833.0,72
4881.0,73
4994.0,74
5007.0,75
5063.0,76
5065.0,77
5082.0,78
5094.0,79
5125.0,80
5135.0,81
5143.0,82
5275.0,83
5343.0,84
5394.0,85
5412.0,86
5555.0,87
5618.0,88
5645.0,89
5788.0,90
5883.0,91
5889.0,92
6033.0,93
6034.0,94
6103.0,95
6114.0,96
6136.0,97
6188.0,96
6204.0,97
6221.0,98
6307.0,99
6357.0,100
6426.0,99
6479.0,100
6508.0,101
6526.0,102
6558.0,103
6621.0,104
6657.0,105
6665.0,104
6708.0,105
6789.0,106
6791.0,107
6804.0,108
6997.0,109
7026.0,110
7089.0,111
7141.0,110
7191.0,109
7404.0,110
7524.0,111
7555.0,112
7579.0,113
7630.0,114
7705.0,115
7712.0,116
7805.0,117
7816.0,116
8001.0,115
8047.0,109
8132.0,110
8208.0,111
8230.0,112
8334.0,113
8487.0,114
8531.0,115
8597.0,116
8697.0,117
8723.0,118
8729.0,119
8730.0,118
8733.0,119
8782.0,120
8838.0,121
8841.0,122
8869.0,123
8916.0,124
8932.0,125
8938.0,126
8986.0,127
9050.0,128
9283.0,129
9308.0,130
9313.0,131
9328.0,131
9334.0,132
9540.0,133
9613.0,134
9615.0,133
9627.0,134
9646.0,135
9725.0,136
9746.0,137
9755.0,138
9830.0,137
9890.0,138
9908.0,139
9997.0,140
10005.0,141
10008.0,142
10085.0,143
10092.0,144
10133.0,145
10169.0,146
10229.0,147
10232.0,148
10294.0,149
10299.0,150
10387.0,149
10416.0,148
10428.0,149
10444.0,150
10493.0,149
10549.0,150
10603.0,151
10618.0,152
10668.0,151
10718.0,152
10722.0,153
10729.0,152
10749.0,152
10897.0,153
10902.0,154
10904.0,155
10976.0,156
11001.0,157
11003.0,158
11024.0,159
11099.0,160
11231.0,161
11333.0,162
11346.0,163
11384.0,164
11397.0,163
11449.0,162
11483.0,163
11577.0,164
11592.0,165
11744.0,164
11780.0,165
11837.0,166
11868.0,165
12014.0,166
12050.0,167
12124.0,166
12266.0,167
12267.0,168
12273.0,169
12360.0,170
12364.0,169
12461.0,168
12515.0,169
12553.0,170
12578.0,171
12666.0,172
12764.0,173
12807.0,174
12857.0,175
12994.0,176
13002.0,177
13092.0,178
13099.0,179
13175.0,180
13283.0,181
13289.0,182
13559.0,183
13588.0,184
13772.0,185
13860.0,186
13866.0,187
13918.0,188
14067.0,189
