Time,UPFs
0.0,0
60.0,1
68.0,1
110.0,1
270.0,1
280.0,2
314.0,2
358.0,2
379.0,2
390.0,2
393.0,2
397.0,2
473.0,2
526.0,3
558.0,3
572.0,3
606.0,3
765.0,3
868.0,3
873.0,3
891.0,3
972.0,4
1008.0,4
1012.0,4
1023.0,4
1079.0,4
1083.0,4
1174.0,4
1177.0,4
1237.0,5
1267.0,5
1300.0,5
1333.0,5
1364.0,5
1366.0,5
1412.0,5
1521.0,5
1586.0,5
1602.0,5
1678.0,6
1752.0,6
1788.0,6
1806.0,6
1832.0,6
1833.0,6
1845.0,6
1976.0,6
2032.0,7
2182.0,7
2199.0,7
2242.0,7
2257.0,7
2265.0,7
2278.0,7
2291.0,7
2308.0,8
2337.0,8
2342.0,8
2352.0,8
2404.0,8
2416.0,8
2470.0,8
2477.0,8
2595.0,8
2645.0,8
2680.0,9
2784.0,9
2803.0,9
2907.0,9
2954.0,9
3059.0,9
3060.0,9
3064.0,9
3072.0,9
3120.0,9
3133.0,10
3181.0,10
3220.0,10
3235.0,10
3241.0,10
3258.0,10
3330.0,10
3361.0,10
3376.0,10
3385.0,10
3497.0,11
3617.0,11
3768.0,11
3791.0,11
3800.0,11
3855.0,11
3899.0,11
3933.0,11
3988.0,12
4004.0,12
4096.0,12
4128.0,12
4184.0,12
4203.0,12
4243.0,12
4279.0,12
4281.0,13
4302.0,13
4369.0,13
4374.0,13
4410.0,13
4434.0,13
4580.0,13
4607.0,13
4653.0,13
4657.0,13
4740.0,13
4749.0,13
4786.0,14
4801.0,14
4838.0,14
4851.0,14
4852.0,14
4854.0,14
4884.0,14
4914.0,14
4938.0,15
4941.0,15
4973.0,15
4982.0,15
4984.0,15
5023.0,15
5051.0,15
5074.0,15
5084.0,16
5085.0,16
5089.0,16
5091.0,16
5097.0,16
5193.0,16
5209.0,16
5284.0,16
5306.0,17
5428.0,17
5492.0,17
5598.0,17
5616.0,17
5617.0,17
5635.0,17
5674.0,17
5690.0,18
5754.0,18
5759.0,18
5796.0,18
5816.0,18
5882.0,18
5886.0,18
5941.0,18
5965.0,18
5970.0,18
5992.0,19
6074.0,19
6185.0,19
6187.0,19
6191.0,19
6217.0,19
6248.0,19
6251.0,19
6299.0,19
6448.0,19
6541.0,19
6542.0,19
6643.0,20
6647.0,20
6681.0,20
6709.0,20
6815.0,20
6819.0,20
6952.0,20
6996.0,20
7025.0,20
7028.0,20
7029.0,20
7075.0,20
7084.0,20
7161.0,20
7271.0,21
7330.0,21
7349.0,21
7453.0,21
7455.0,21
7636.0,21
7636.0,21
7654.0,21
7676.0,21
7759.0,21
7774.0,21
7851.0,21
7870.0,21
7888.0,21
7975.0,21
7982.0,21
7994.0,22
8015.0,22
8049.0,22
8136.0,22
8138.0,22
8230.0,22
8232.0,22
8234.0,22
8290.0,22
8291.0,22
8314.0,22
8334.0,22
8357.0,23
8493.0,23
8524.0,23
8603.0,23
8642.0,23
8679.0,23
8702.0,23
8748.0,23
8755.0,23
8762.0,23
8782.0,23
8833.0,23
8835.0,23
8844.0,23
8873.0,24
8905.0,24
8979.0,24
9074.0,24
9089.0,24
9099.0,24
9130.0,24
9141.0,24
9159.0,24
9173.0,24
9206.0,25
9233.0,25
9248.0,25
9266.0,25
9272.0,25
9324.0,25
9329.0,25
9392.0,25
9408.0,26
9447.0,26
9490.0,26
9498.0,26
9508.0,26
9612.0,26
9637.0,26
9661.0,26
9739.0,27
9790.0,27
9829.0,27
9839.0,27
9872.0,27
9915.0,27
9923.0,27
9926.0,27
9929.0,28
10005.0,28
10032.0,28
10046.0,28
10070.0,28
10095.0,28
10176.0,28
10236.0,28
10240.0,28
10324.0,28
10335.0,28
10393.0,28
10411.0,28
10412.0,28
10433.0,28
10511.0,28
10540.0,29
10572.0,29
10595.0,29
10640.0,29
10676.0,29
10685.0,29
10757.0,29
10859.0,29
10876.0,29
10878.0,29
10974.0,30
10980.0,30
11004.0,30
11016.0,30
11022.0,30
11063.0,30
11077.0,30
11097.0,30
11186.0,30
11215.0,30
11256.0,30
11257.0,30
11295.0,31
11351.0,31
11394.0,31
11518.0,31
11524.0,31
11531.0,31
11565.0,31
11568.0,31
11569.0,32
11605.0,32
11625.0,32
11637.0,32
11646.0,32
11758.0,32
11780.0,32
11804.0,32
11813.0,32
11838.0,32
11870.0,33
11934.0,33
11945.0,33
11975.0,33
12042.0,33
12043.0,33
12070.0,33
12077.0,33
12078.0,33
12211.0,33
12258.0,33
12266.0,33
12268.0,34
12319.0,34
12393.0,34
12406.0,34
12464.0,34
12465.0,34
12489.0,34
12505.0,34
12510.0,34
12520.0,34
12576.0,35
12622.0,35
12636.0,35
12651.0,35
12688.0,35
12823.0,35
12916.0,35
12990.0,35
13005.0,35
13019.0,35
13209.0,36
13224.0,36
13230.0,36
13256.0,36
13267.0,36
13278.0,36
13315.0,36
13383.0,36
13425.0,36
13489.0,36
13537.0,36
13571.0,36
13632.0,36
13645.0,36
13665.0,37
13703.0,37
13794.0,37
13829.0,37
13831.0,37
13831.0,37
13834.0,37
13853.0,37
13857.0,37
13911.0,37
13989.0,37
14004.0,37
14009.0,38
14042.0,38
14146.0,38
14153.0,38
14182.0,38
14222.0,38
14257.0,38
14343.0,38
14355.0,38
14357.0,38
14367.0,38
14369.0,38
14424.0,38
14487.0,38
14517.0,38
14535.0,38
14577.0,39
14577.0,39
14581.0,39
14640.0,39
14676.0,39
14721.0,39
14734.0,39
14735.0,39
14863.0,39
14883.0,39
14913.0,40
14976.0,40
15102.0,40
15127.0,40
15133.0,40
15149.0,40
15150.0,40
15173.0,40
15310.0,40
15335.0,40
15364.0,41
15579.0,41
15606.0,41
15627.0,41
15639.0,41
15649.0,41
15652.0,41
15772.0,41
15795.0,41
15803.0,41
15805.0,42
15815.0,42
15818.0,42
15855.0,42
15858.0,42
15870.0,42
15970.0,42
15977.0,42
16012.0,42
16061.0,42
16085.0,42
16144.0,42
16156.0,42
16243.0,42
16284.0,42
16299.0,42
16336.0,42
16432.0,42
16448.0,42
16519.0,42
16524.0,42
16525.0,42
16602.0,42
16646.0,42
16686.0,42
16743.0,42
16823.0,42
16856.0,43
16885.0,43
16967.0,43
16983.0,43
17029.0,43
17065.0,43
17131.0,43
17151.0,43
17156.0,43
17160.0,43
17164.0,44
17209.0,44
17221.0,44
17375.0,44
17382.0,44
17384.0,44
17451.0,44
17466.0,44
17494.0,44
17548.0,44
17600.0,45
17644.0,45
17737.0,45
17852.0,45
17868.0,45
17892.0,45
17916.0,45
17927.0,45
17948.0,45
17954.0,45
18020.0,45
18088.0,45
18105.0,45
18174.0,45
18240.0,45
18242.0,45
18290.0,45
18315.0,45
18322.0,45
18333.0,46
18373.0,46
18390.0,46
18394.0,46
18436.0,46
18526.0,46
18556.0,46
18638.0,46
18753.0,46
18797.0,46
18798.0,47
18803.0,47
18807.0,47
18846.0,47
18857.0,47
18903.0,47
18962.0,47
19029.0,47
19086.0,47
19160.0,47
19164.0,48
19196.0,48
19242.0,48
19271.0,48
19276.0,48
19279.0,48
19373.0,48
19392.0,48
19441.0,48
19499.0,48
19509.0,48
19551.0,48
19627.0,48
19667.0,48
19719.0,48
19733.0,48
19793.0,48
19802.0,48
19813.0,48
19815.0,48
19842.0,49
19936.0,49
19951.0,49
19962.0,49
20023.0,49
20132.0,49
20265.0,49
20282.0,49
20294.0,49
20325.0,49
20352.0,49
20393.0,49
20428.0,50
20446.0,50
20523.0,50
20552.0,50
20570.0,50
20653.0,50
20730.0,50
20734.0,50
20753.0,50
20766.0,50
20775.0,50
20836.0,50
20844.0,50
20921.0,50
21014.0,50
21029.0,50
21144.0,51
21155.0,51
21161.0,51
21183.0,51
21216.0,51
21413.0,51
21496.0,51
21551.0,51
21579.0,51
21629.0,51
21646.0,51
21697.0,51
21698.0,51
21748.0,51
21757.0,51
21889.0,51
21933.0,52
21935.0,52
21987.0,52
22010.0,52
22059.0,52
22119.0,52
22183.0,52
22227.0,52
22231.0,52
22301.0,52
22397.0,52
22448.0,52
22480.0,52
22521.0,52
22524.0,52
22527.0,52
22545.0,52
22600.0,52
22613.0,53
22617.0,53
22661.0,53
22752.0,53
22754.0,53
22778.0,53
22806.0,53
22815.0,53
22821.0,53
22879.0,53
22889.0,53
22993.0,53
22996.0,54
23001.0,54
23017.0,54
23030.0,54
23034.0,54
23053.0,54
23111.0,54
23117.0,54
23127.0,54
23133.0,54
23162.0,54
23240.0,54
23269.0,54
23278.0,54
23283.0,54
23320.0,54
23334.0,54
23340.0,54
23458.0,54
23461.0,54
23464.0,54
23466.0,54
23556.0,54
23599.0,54
23614.0,54
23704.0,54
23715.0,54
23722.0,54
23753.0,54
23773.0,54
23785.0,54
23799.0,54
23844.0,54
23853.0,54
23865.0,54
23912.0,54
23924.0,54
23956.0,54
23969.0,54
24010.0,54
24068.0,54
24075.0,55
24099.0,55
24115.0,55
24120.0,55
24138.0,55
24142.0,55
24163.0,55
24216.0,55
24282.0,55
24297.0,55
24313.0,55
24331.0,55
24565.0,55
24625.0,55
24631.0,55
24653.0,55
24663.0,55
24700.0,55
24717.0,55
24722.0,55
24742.0,55
24818.0,55
24862.0,55
24870.0,55
24906.0,56
24951.0,56
24958.0,56
25015.0,56
25029.0,56
25155.0,56
25160.0,56
25178.0,56
25211.0,56
25351.0,56
25432.0,56
25498.0,56
25540.0,56
25554.0,56
25576.0,56
25615.0,56
25648.0,56
25651.0,56
25655.0,56
25709.0,56
25756.0,57
25847.0,57
25890.0,57
25922.0,57
25926.0,57
25943.0,57
25950.0,57
26104.0,57
26137.0,57
26184.0,57
26232.0,58
26253.0,58
26289.0,58
26301.0,58
26428.0,58
26440.0,58
26541.0,58
26612.0,58
26729.0,58
26735.0,58
26789.0,58
26852.0,58
26857.0,58
26918.0,58
26944.0,58
27049.0,58
27066.0,58
27077.0,58
27092.0,58
27120.0,58
27145.0,58
27212.0,58
27242.0,58
27307.0,58
27319.0,58
27489.0,58
27520.0,59
27548.0,59
27579.0,59
27640.0,59
27646.0,59
27663.0,59
27750.0,59
27765.0,59
27767.0,59
27783.0,59
27797.0,59
27903.0,59
27929.0,59
27952.0,59
27996.0,59
28004.0,59
28023.0,60
28056.0,60
28114.0,60
28115.0,60
28135.0,60
28203.0,60
28211.0,60
28212.0,60
28278.0,60
28282.0,60
28349.0,60
28360.0,60
28366.0,61
28411.0,61
28428.0,61
28430.0,61
28446.0,61
28453.0,61
28473.0,61
28486.0,61
28535.0,61
28591.0,61
28655.0,61
28681.0,61
28705.0,61
28756.0,61
28812.0,61
28822.0,61
28823.0,61
28838.0,61
28896.0,61
28924.0,61
28988.0,61
29040.0,61
29048.0,61
29057.0,61
29150.0,61
29183.0,61
29190.0,61
29201.0,61
29261.0,61
29294.0,62
29321.0,62
29348.0,62
29394.0,62
29414.0,62
29415.0,62
29444.0,62
29474.0,62
29517.0,62
29531.0,62
29572.0,62
29589.0,62
29619.0,62
29634.0,62
29708.0,62
29769.0,62
29789.0,62
29790.0,62
29853.0,62
29874.0,62
29876.0,62
29891.0,62
29912.0,62
29938.0,62
29949.0,62
30005.0,62
30011.0,62
30021.0,62
30036.0,62
30036.0,62
30036.0,62
30080.0,62
30085.0,62
30132.0,62
30170.0,62
30185.0,63
30222.0,63
30277.0,63
30302.0,63
30305.0,63
30361.0,63
30388.0,63
30414.0,63
30446.0,63
30456.0,63
30579.0,63
30625.0,63
30649.0,63
30688.0,63
30709.0,64
30711.0,64
30745.0,64
30759.0,64
30826.0,64
30843.0,64
30871.0,64
30875.0,64
30902.0,64
30910.0,64
30974.0,65
30978.0,65
30992.0,65
31006.0,65
31034.0,65
31065.0,65
31073.0,65
31077.0,65
31173.0,65
31198.0,65
31200.0,65
31238.0,65
31263.0,66
31390.0,66
31444.0,66
31445.0,66
31455.0,66
31458.0,66
31548.0,66
31564.0,66
31618.0,66
31624.0,66
31638.0,66
31672.0,66
31731.0,66
31740.0,66
31746.0,66
31767.0,66
31798.0,66
31855.0,66
31855.0,66
31885.0,66
31908.0,66
31910.0,66
31913.0,66
31941.0,66
31952.0,66
