Time,Idle UPFs
0.0,0
502.0,0
655.0,0
684.0,0
1020.0,0
1226.0,1
1810.0,0
1850.0,0
1884.0,0
2008.0,0
2066.0,0
2092.0,0
2169.0,0
2266.0,1
2426.0,1
2547.0,0
2555.0,0
2587.0,0
3083.0,0
3359.0,0
3377.0,0
3474.0,0
3588.0,0
3676.0,1
3989.0,1
4171.0,0
4294.0,0
4329.0,0
4578.0,0
4954.0,0
5338.0,0
5379.0,0
5416.0,0
5482.0,0
5535.0,0
5609.0,1
5740.0,0
5951.0,0
6011.0,0
6734.0,0
6771.0,0
7048.0,0
7053.0,0
7271.0,0
7284.0,0
7305.0,0
7468.0,0
7479.0,1
7545.0,0
7715.0,0
7731.0,0
7822.0,0
8031.0,0
8169.0,0
8283.0,0
8376.0,0
8396.0,0
8565.0,1
8684.0,0
8732.0,0
8967.0,0
8981.0,0
9011.0,0
9137.0,0
9287.0,0
9629.0,0
9664.0,0
9664.0,0
9794.0,0
9885.0,1
9982.0,1
9993.0,1
10012.0,1
10172.0,1
10192.0,0
10285.0,0
10614.0,0
10734.0,0
10776.0,0
10845.0,0
10911.0,0
10963.0,0
11114.0,0
11709.0,0
11758.0,1
11818.0,0
11825.0,0
11884.0,0
11942.0,0
11997.0,0
12043.0,0
12156.0,0
12203.0,0
12442.0,1
12660.0,0
12827.0,0
12955.0,0
13256.0,0
13291.0,0
13335.0,0
13440.0,0
13443.0,0
13486.0,0
13518.0,1
13563.0,0
13600.0,0
13625.0,0
13646.0,0
13996.0,0
14176.0,0
14191.0,0
14312.0,0
14359.0,0
14585.0,0
14739.0,0
14907.0,0
14979.0,1
15359.0,0
15373.0,0
15612.0,0
15627.0,0
16009.0,0
16011.0,0
16193.0,0
16223.0,0
16420.0,0
16447.0,1
16463.0,1
16509.0,0
16738.0,0
17054.0,0
17161.0,0
17195.0,0
17272.0,0
17319.0,0
17403.0,0
17570.0,0
17687.0,0
17687.0,0
17801.0,0
18015.0,1
18020.0,0
18053.0,0
18566.0,0
18644.0,0
18962.0,0
19084.0,0
19246.0,0
19368.0,0
19423.0,0
19651.0,0
19870.0,0
19971.0,0
20022.0,0
20053.0,0
20117.0,0
20253.0,0
20452.0,0
20470.0,1
21239.0,0
21361.0,0
21361.0,0
21524.0,0
21587.0,0
21790.0,0
21848.0,0
21958.0,0
22100.0,0
22113.0,0
22125.0,0
22533.0,0
22650.0,0
22825.0,0
22849.0,0
23090.0,0
23127.0,0
23159.0,0
23176.0,0
23183.0,0
23314.0,1
23463.0,0
23464.0,0
23470.0,0
23545.0,0
23669.0,0
23710.0,0
23725.0,0
23852.0,0
24022.0,1
24442.0,0
24643.0,0
24709.0,0
24762.0,0
24776.0,0
25012.0,0
25324.0,0
25523.0,0
25555.0,0
25604.0,0
25813.0,0
25868.0,1
26009.0,0
26060.0,0
26089.0,0
26092.0,0
26104.0,0
26250.0,0
26298.0,0
26379.0,0
26535.0,0
26556.0,0
26563.0,0
26766.0,0
26784.0,0
26891.0,0
26986.0,0
27146.0,0
27154.0,1
27260.0,0
27318.0,0
27435.0,0
27559.0,0
27642.0,0
27672.0,0
27844.0,0
27991.0,0
28134.0,0
28306.0,0
28438.0,0
28520.0,1
28581.0,0
28662.0,0
28786.0,0
28911.0,0
28913.0,0
28913.0,0
28925.0,0
28929.0,0
29121.0,0
29186.0,0
29188.0,0
29190.0,0
29246.0,0
29309.0,0
29403.0,0
29445.0,0
29479.0,0
29795.0,0
30067.0,0
30089.0,0
30100.0,0
30285.0,0
30340.0,0
30375.0,0
30464.0,0
30714.0,0
31160.0,0
31254.0,1
31332.0,0
31489.0,0
31878.0,0
32170.0,0
32547.0,0
32549.0,0
32565.0,0
32597.0,0
32616.0,0
32681.0,0
32814.0,0
33065.0,0
33207.0,0
33307.0,0
33374.0,0
33607.0,0
33713.0,1
33867.0,1
33890.0,0
33981.0,0
34062.0,0
34114.0,0
34237.0,0
34479.0,0
34482.0,0
34494.0,0
34500.0,0
34739.0,0
34757.0,0
34959.0,0
35147.0,0
35247.0,0
35262.0,0
35534.0,0
35587.0,0
35610.0,0
35982.0,0
36060.0,0
36191.0,0
36401.0,0
36551.0,0
36785.0,0
36800.0,0
36931.0,0
36937.0,0
36946.0,0
37332.0,0
37410.0,0
37446.0,0
37552.0,1
37574.0,0
37748.0,0
37749.0,0
37895.0,0
37974.0,0
38017.0,0
38313.0,0
38649.0,0
38737.0,0
38864.0,0
39150.0,0
39448.0,0
39476.0,0
39695.0,0
39808.0,0
39818.0,0
40196.0,0
40450.0,0
40645.0,0
40780.0,0
40904.0,0
41103.0,0
41268.0,0
41654.0,0
41654.0,0
41709.0,0
42078.0,0
42216.0,0
42240.0,0
42275.0,0
42348.0,0
42362.0,1
43076.0,0
43205.0,0
43227.0,0
43486.0,0
43516.0,0
43805.0,0
43826.0,0
43856.0,0
43980.0,0
44021.0,0
44065.0,0
44112.0,0
44448.0,0
44453.0,0
44479.0,0
44731.0,0
44759.0,0
44839.0,0
45147.0,1
45253.0,0
45267.0,0
45307.0,0
45641.0,0
46141.0,0
46634.0,0
46706.0,0
46762.0,0
46975.0,0
47004.0,0
47031.0,0
47140.0,0
47423.0,0
47484.0,0
47623.0,0
47671.0,0
47695.0,0
47851.0,0
48037.0,0
48111.0,0
48209.0,0
48297.0,0
48299.0,0
48544.0,0
48863.0,1
49001.0,0
49088.0,0
49093.0,0
49255.0,0
49295.0,0
49298.0,0
49322.0,0
49325.0,0
49385.0,0
49447.0,0
49543.0,0
49615.0,1
49871.0,0
50034.0,0
50507.0,0
50532.0,0
50624.0,0
50659.0,0
50968.0,0
50968.0,0
51018.0,0
51457.0,0
51551.0,0
51671.0,0
51738.0,0
51784.0,0
51798.0,0
51807.0,0
51816.0,0
51835.0,0
52006.0,0
52026.0,0
52077.0,0
52185.0,0
52217.0,0
52224.0,0
52279.0,0
52295.0,1
52398.0,0
52403.0,0
52474.0,0
52670.0,0
52700.0,0
52938.0,0
52953.0,0
53376.0,0
53431.0,0
53452.0,0
53661.0,0
53662.0,0
53701.0,0
53727.0,0
53812.0,0
53889.0,0
54119.0,1
54138.0,0
54168.0,0
54514.0,0
54544.0,0
54671.0,0
54676.0,0
54770.0,0
54798.0,0
54817.0,0
54896.0,0
54961.0,0
55028.0,0
55397.0,0
55587.0,0
55703.0,0
55729.0,1
55832.0,1
55910.0,0
55988.0,0
56008.0,0
56061.0,0
56084.0,0
56089.0,0
56160.0,0
56283.0,0
56301.0,0
56528.0,0
56626.0,0
57019.0,0
57065.0,0
57093.0,0
57123.0,0
57179.0,0
57197.0,0
57558.0,0
57682.0,0
58338.0,0
58356.0,0
58441.0,0
58484.0,1
58487.0,1
58658.0,1
58723.0,1
58776.0,1
58826.0,0
58850.0,0
58906.0,0
58954.0,0
59011.0,0
59147.0,0
59202.0,0
59237.0,0
59309.0,0
59330.0,0
59377.0,0
59424.0,0
59462.0,0
59535.0,0
59681.0,0
59791.0,0
59800.0,0
59825.0,0
60250.0,1
60340.0,1
60387.0,1
60592.0,1
60610.0,0
60695.0,0
60832.0,0
60869.0,0
60958.0,0
61015.0,0
61060.0,0
61211.0,0
61300.0,0
61407.0,0
61477.0,0
61724.0,0
61740.0,0
61743.0,0
62020.0,0
62044.0,0
62290.0,0
62302.0,0
62433.0,0
62521.0,0
62555.0,0
62634.0,0
62658.0,0
62748.0,0
62781.0,0
62895.0,0
63019.0,0
63089.0,0
63099.0,0
63242.0,0
63354.0,0
63384.0,0
63665.0,0
63789.0,0
63860.0,0
63953.0,0
64139.0,0
64298.0,0
64422.0,0
64501.0,0
64539.0,0
64561.0,0
64678.0,0
65062.0,0
65193.0,0
65293.0,1
65357.0,1
65444.0,0
65477.0,0
65826.0,0
65894.0,0
65996.0,0
66158.0,0
66286.0,0
66340.0,0
66347.0,0
66504.0,0
66545.0,0
66608.0,0
66700.0,0
66836.0,0
66839.0,0
66977.0,0
66978.0,0
67064.0,0
67326.0,0
67448.0,0
67613.0,0
67926.0,0
67961.0,0
68011.0,0
68039.0,0
68065.0,0
68071.0,0
68196.0,0
68197.0,0
68253.0,0
68408.0,0
68424.0,0
68542.0,0
68555.0,0
68626.0,0
68939.0,0
69025.0,0
69111.0,0
69177.0,0
69193.0,0
69602.0,0
69750.0,0
69869.0,0
69908.0,0
70033.0,1
70251.0,1
70390.0,0
70501.0,0
70617.0,0
70645.0,0
70817.0,0
