Time,Idle UPFs
0.0,0
377.0,0
492.0,0
514.0,0
766.0,0
920.0,1
1358.0,0
1388.0,0
1414.0,0
1507.0,0
1551.0,0
1570.0,0
1628.0,0
1821.0,1
1912.0,0
1918.0,0
1942.0,0
1960.0,0
2314.0,0
2521.0,0
2534.0,0
2607.0,0
2693.0,0
2994.0,1
3130.0,0
3222.0,0
3248.0,0
3435.0,0
3506.0,0
3717.0,0
4036.0,0
4064.0,0
4114.0,0
4154.0,1
4210.0,0
4308.0,0
4443.0,0
4511.0,0
5053.0,0
5081.0,0
5293.0,0
5306.0,0
5358.0,0
5457.0,0
5467.0,0
5483.0,0
5606.0,0
5615.0,1
5665.0,0
5792.0,0
5872.0,0
6029.0,0
6132.0,0
6218.0,0
6288.0,0
6303.0,1
6379.0,0
6430.0,0
6519.0,0
6555.0,0
6732.0,0
6743.0,0
6765.0,0
6972.0,0
7229.0,0
7255.0,1
7352.0,0
7576.0,0
7636.0,0
7651.0,0
7721.0,0
7900.0,0
7968.0,0
8058.0,0
8090.0,0
8142.0,0
8191.0,0
8317.0,1
8343.0,1
8385.0,0
8669.0,0
8789.0,0
8826.0,0
8871.0,0
8876.0,0
8964.0,0
8974.0,0
9005.0,0
9040.0,0
9115.0,0
9125.0,0
9160.0,0
9340.0,0
9503.0,0
9629.0,1
9725.0,0
9951.0,0
9977.0,0
10089.0,0
10092.0,0
10125.0,0
10149.0,0
10211.0,1
10230.0,0
10246.0,0
10509.0,0
10644.0,0
10746.0,0
10781.0,0
11066.0,0
11192.0,1
11246.0,0
11422.0,0
11531.0,0
11607.0,0
11721.0,0
11732.0,0
11903.0,0
12019.0,0
12021.0,0
12059.0,0
12158.0,0
12180.0,0
12241.0,0
12328.0,0
12360.0,0
12394.0,0
12412.0,0
12566.0,0
12803.0,0
12909.0,1
12958.0,0
12967.0,0
13002.0,0
13065.0,0
13190.0,0
13278.0,0
13363.0,0
13524.0,0
13528.0,0
13553.0,1
13938.0,0
13996.0,0
14326.0,0
14457.0,0
14475.0,0
14752.0,0
14775.0,0
14992.0,0
15053.0,0
15101.0,0
15203.0,0
15352.0,0
15365.0,0
15668.0,1
15942.0,1
16034.0,0
16203.0,0
16355.0,0
16399.0,0
16607.0,0
16867.0,0
16913.0,0
17001.0,0
17133.0,0
17332.0,0
17371.0,1
17384.0,1
17397.0,0
17402.0,0
17500.0,0
17612.0,0
17617.0,0
17673.0,0
17766.0,0
17797.0,0
17809.0,1
17827.0,0
17904.0,0
17967.0,0
18031.0,0
18497.0,0
18546.0,0
18586.0,0
18597.0,0
18846.0,0
19008.0,0
19157.0,0
19161.0,0
19181.0,0
19218.0,0
19375.0,1
19417.0,0
19552.0,0
19585.0,0
19704.0,0
19723.0,0
19740.0,0
19881.0,0
19918.0,0
19934.0,0
19940.0,0
20093.0,0
20106.0,0
20187.0,0
20259.0,1
20379.0,0
20385.0,0
20463.0,0
20508.0,0
20547.0,0
20586.0,0
20643.0,0
20686.0,0
20701.0,0
20751.0,0
20774.0,0
20903.0,0
21014.0,0
21122.0,0
21251.0,0
21350.0,0
21411.0,0
21706.0,0
21715.0,1
21718.0,0
21808.0,0
21862.0,0
21911.0,0
21914.0,0
21956.0,0
22106.0,0
22247.0,0
22289.0,0
22369.0,0
22573.0,0
22598.0,0
22804.0,1
22871.0,0
22907.0,0
23059.0,0
23393.0,0
23464.0,0
23464.0,0
23489.0,0
23640.0,0
23851.0,0
23932.0,0
24151.0,0
24224.0,0
24240.0,0
24387.0,0
24434.0,0
24434.0,0
24436.0,0
24448.0,0
24468.0,0
24823.0,0
24930.0,0
25005.0,0
25055.0,0
25230.0,0
25300.0,1
25425.0,1
25426.0,0
25511.0,0
25555.0,0
25611.0,0
25634.0,0
25697.0,0
25885.0,0
25901.0,0
26081.0,0
26095.0,0
26246.0,0
26462.0,0
26473.0,0
26679.0,0
26773.0,0
27013.0,0
27027.0,0
27071.0,0
27439.0,0
27614.0,0
27625.0,0
27662.0,1
27688.0,1
27728.0,1
28025.0,0
28110.0,0
28190.0,0
28206.0,0
28244.0,0
28337.0,0
28376.0,0
28447.0,0
28476.0,0
28506.0,0
28681.0,0
28721.0,0
28760.0,0
29082.0,0
29173.0,0
29292.0,0
29611.0,0
29697.0,0
29784.0,0
29785.0,0
29889.0,0
30003.0,0
30024.0,0
30207.0,0
30488.0,0
30509.0,0
30610.0,0
30703.0,0
30852.0,0
30906.0,0
30942.0,0
30976.0,0
31087.0,0
31088.0,0
31266.0,0
31308.0,0
31585.0,0
31706.0,0
31733.0,0
31788.0,0
31799.0,1
31817.0,0
31895.0,0
32075.0,0
32076.0,0
32335.0,0
32430.0,0
32431.0,0
32432.0,0
32601.0,0
32643.0,0
32666.0,0
32883.0,0
32970.0,0
33045.0,0
33113.0,0
33365.0,0
33369.0,0
33577.0,0
33592.0,0
33598.0,0
33617.0,0
33658.0,0
33889.0,0
33920.0,1
33969.0,1
34009.0,0
34260.0,0
34343.0,0
34382.0,0
34458.0,0
35072.0,0
35282.0,0
35384.0,0
35679.0,0
35747.0,0
35783.0,0
35801.0,0
35918.0,0
36058.0,0
36114.0,0
36254.0,0
36439.0,0
36678.0,1
36781.0,0
36846.0,0
36850.0,0
36911.0,0
36972.0,0
37002.0,0
37004.0,0
37116.0,0
37188.0,0
37242.0,1
37434.0,0
37556.0,0
37930.0,0
38257.0,0
38295.0,0
38630.0,0
38785.0,0
38835.0,0
38870.0,0
38888.0,1
38909.0,0
39038.0,0
39092.0,0
39140.0,0
39173.0,0
39197.0,0
39203.0,0
39244.0,0
39256.0,0
39334.0,1
39391.0,0
39538.0,0
39739.0,0
39750.0,0
40068.0,0
40109.0,0
40282.0,0
40312.0,1
40395.0,0
40453.0,0
40626.0,0
40663.0,0
40931.0,0
40945.0,0
41040.0,0
41115.0,0
41150.0,0
41210.0,1
41259.0,0
41309.0,0
41415.0,0
41544.0,0
41586.0,0
41729.0,0
41741.0,0
41816.0,0
41913.0,0
42085.0,0
42103.0,0
42141.0,0
42160.0,0
42224.0,0
42266.0,0
42273.0,0
42357.0,0
42495.0,0
42784.0,0
42805.0,0
42815.0,0
42839.0,0
42860.0,0
42882.0,0
42924.0,0
43202.0,1
43208.0,1
43209.0,0
43220.0,0
43301.0,0
43438.0,0
43681.0,0
43806.0,0
43855.0,0
43870.0,0
43896.0,0
44041.0,0
44121.0,0
44159.0,0
44298.0,0
44333.0,0
44400.0,0
44442.0,0
44468.0,0
44538.0,0
44573.0,0
44691.0,0
44764.0,0
44800.0,0
44883.0,0
44890.0,1
44909.0,0
45330.0,0
45450.0,0
45485.0,0
45676.0,0
45684.0,0
45688.0,0
45693.0,0
45739.0,0
45837.0,0
45885.0,0
45951.0,0
45974.0,0
46018.0,0
46134.0,0
46350.0,0
46363.0,0
46383.0,0
46709.0,0
46721.0,0
46770.0,0
46788.0,0
46906.0,0
46935.0,0
46960.0,0
47129.0,0
47360.0,0
47390.0,0
47486.0,0
47495.0,0
47559.0,0
47582.0,0
47688.0,0
47793.0,0
47886.0,0
47950.0,0
48149.0,0
48183.0,0
48207.0,0
48362.0,0
48422.0,0
48456.0,0
48460.0,0
48467.0,0
48555.0,0
48685.0,0
48733.0,0
48843.0,0
48870.0,0
48899.0,0
48942.0,0
48985.0,0
49065.0,0
49076.0,0
49084.0,0
49270.0,0
49417.0,0
49468.0,0
49666.0,0
49748.0,0
49762.0,0
49875.0,0
49957.0,0
50004.0,1
50175.0,0
50281.0,0
50401.0,0
50455.0,0
50481.0,0
50543.0,0
50673.0,0
50759.0,0
50889.0,0
50951.0,0
50994.0,0
51058.0,0
51079.0,0
51216.0,0
51240.0,0
51369.0,0
51467.0,0
51521.0,0
51820.0,0
51881.0,0
51885.0,0
51899.0,0
51965.0,0
52233.0,0
52253.0,0
52364.0,0
52445.0,0
52483.0,0
52718.0,1
52741.0,1
52846.0,0
53137.0,0
53166.0,0
53184.0,0
53187.0,0
53207.0,0
53304.0,0
53397.0,0
53407.0,0
53471.0,0
53529.0,0
53796.0,0
53812.0,0
53932.0,0
54041.0,0
54359.0,0
54451.0,0
54515.0,0
54567.0,0
54568.0,0
54632.0,0
54739.0,1
54812.0,1
54888.0,1
54948.0,1
55002.0,0
55078.0,0
55154.0,0
55179.0,0
55247.0,0
55281.0,0
55304.0,0
55330.0,0
55430.0,0
55480.0,0
55567.0,0
55901.0,0
55973.0,0
56040.0,0
56090.0,0
56286.0,0
56555.0,0
56622.0,0
56762.0,0
56800.0,0
56834.0,0
56876.0,0
56967.0,0
56976.0,0
56987.0,0
57050.0,0
57147.0,0
57331.0,0
57336.0,0
57363.0,0
57443.0,0
57452.0,0
57528.0,0
57558.0,0
57601.0,0
57704.0,0
57730.0,1
57813.0,0
58096.0,0
58136.0,0
58182.0,0
58202.0,0
58224.0,0
58359.0,0
58391.0,0
58531.0,0
58545.0,0
58570.0,1
58589.0,0
58605.0,0
58640.0,0
58644.0,0
58792.0,0
58818.0,0
58882.0,0
58946.0,0
58975.0,0
59058.0,0
59118.0,0
59225.0,0
59259.0,0
59271.0,0
59275.0,0
59385.0,0
59488.0,0
59527.0,0
59664.0,0
59717.0,0
59733.0,0
59777.0,0
59817.0,0
59821.0,0
59883.0,0
59914.0,0
59955.0,0
59997.0,0
60172.0,0
60326.0,0
60345.0,0
60348.0,0
60388.0,0
60429.0,0
60501.0,0
60568.0,0
60577.0,0
60631.0,0
60634.0,0
60699.0,0
60732.0,0
