Time,UPFs
0.0,0
2.0,1
5.0,1
5.0,1
7.0,1
9.0,1
10.0,1
11.0,2
12.0,2
14.0,2
15.0,2
16.0,2
17.0,2
18.0,2
19.0,2
20.0,2
21.0,2
23.0,2
26.0,2
27.0,3
28.0,3
33.0,3
33.0,3
33.0,3
37.0,3
38.0,3
39.0,3
42.0,3
44.0,3
45.0,3
46.0,3
47.0,3
50.0,3
52.0,3
53.0,3
54.0,4
57.0,4
60.0,4
62.0,4
62.0,4
65.0,4
66.0,4
66.0,4
67.0,4
67.0,4
68.0,4
71.0,4
71.0,4
73.0,4
74.0,4
75.0,4
76.0,4
76.0,4
82.0,4
85.0,4
87.0,5
88.0,5
89.0,5
93.0,5
94.0,6
95.0,6
96.0,6
96.0,6
97.0,6
100.0,6
103.0,6
105.0,6
106.0,6
108.0,6
110.0,6
112.0,6
114.0,6
116.0,6
116.0,6
118.0,6
119.0,6
121.0,6
122.0,6
124.0,6
125.0,6
126.0,6
129.0,6
130.0,6
131.0,6
132.0,6
133.0,6
134.0,6
135.0,6
137.0,6
141.0,6
141.0,6
142.0,6
143.0,6
146.0,6
146.0,6
146.0,6
148.0,6
150.0,6
150.0,6
153.0,6
155.0,6
155.0,6
156.0,6
156.0,6
158.0,6
161.0,6
163.0,6
164.0,6
164.0,6
165.0,6
170.0,6
171.0,6
172.0,6
172.0,6
173.0,6
174.0,6
176.0,6
177.0,6
178.0,6
179.0,6
180.0,6
180.0,6
181.0,6
183.0,6
188.0,6
190.0,6
194.0,6
194.0,6
198.0,6
199.0,6
201.0,6
201.0,6
203.0,6
205.0,6
206.0,6
208.0,6
208.0,6
212.0,6
213.0,6
214.0,6
215.0,6
219.0,6
219.0,6
221.0,6
222.0,6
225.0,6
226.0,6
226.0,6
227.0,6
229.0,6
229.0,6
233.0,6
237.0,6
237.0,6
240.0,6
241.0,6
242.0,6
243.0,6
245.0,6
247.0,6
249.0,6
250.0,6
250.0,6
250.0,6
250.0,6
252.0,6
253.0,6
254.0,6
254.0,6
257.0,6
258.0,6
258.0,6
259.0,6
259.0,6
261.0,6
262.0,6
264.0,6
265.0,6
266.0,6
266.0,6
267.0,6
269.0,6
272.0,6
274.0,6
275.0,6
275.0,6
276.0,6
280.0,6
281.0,6
282.0,6
283.0,6
283.0,6
283.0,6
284.0,6
286.0,6
288.0,6
290.0,6
292.0,6
292.0,6
302.0,6
305.0,6
306.0,6
308.0,6
310.0,6
310.0,6
310.0,6
311.0,6
312.0,6
313.0,6
316.0,6
316.0,6
317.0,6
318.0,6
318.0,6
319.0,6
320.0,6
321.0,6
322.0,6
322.0,6
323.0,6
324.0,6
327.0,6
327.0,6
328.0,6
328.0,6
330.0,6
331.0,6
333.0,6
337.0,6
337.0,6
338.0,6
339.0,6
341.0,6
341.0,6
341.0,6
343.0,6
344.0,6
344.0,6
346.0,6
348.0,6
348.0,6
351.0,6
352.0,6
353.0,6
358.0,6
358.0,6
359.0,6
359.0,6
362.0,6
363.0,6
363.0,6
367.0,6
367.0,6
368.0,6
369.0,6
369.0,6
370.0,6
371.0,6
372.0,6
374.0,6
377.0,6
379.0,6
382.0,6
384.0,6
385.0,6
385.0,6
386.0,6
388.0,6
390.0,6
392.0,6
394.0,6
395.0,6
395.0,6
399.0,6
399.0,6
400.0,6
401.0,6
402.0,6
406.0,6
408.0,6
409.0,6
411.0,6
414.0,6
414.0,6
415.0,6
416.0,6
417.0,6
418.0,6
419.0,6
420.0,6
421.0,6
423.0,6
424.0,6
426.0,6
426.0,6
427.0,6
428.0,6
428.0,6
429.0,6
431.0,6
432.0,6
432.0,6
434.0,6
435.0,6
436.0,6
439.0,6
440.0,6
442.0,6
442.0,6
443.0,6
443.0,6
443.0,6
444.0,6
445.0,6
447.0,6
450.0,6
450.0,6
452.0,6
452.0,6
452.0,6
453.0,6
455.0,6
456.0,6
458.0,6
460.0,6
461.0,6
461.0,6
462.0,6
462.0,6
467.0,6
467.0,6
468.0,6
469.0,6
471.0,6
471.0,6
472.0,6
473.0,6
474.0,6
475.0,6
475.0,6
477.0,6
479.0,6
480.0,6
481.0,6
481.0,6
485.0,6
485.0,6
485.0,6
486.0,6
487.0,6
488.0,6
489.0,6
491.0,6
492.0,6
492.0,6
492.0,6
493.0,6
494.0,6
495.0,6
498.0,6
499.0,6
500.0,6
501.0,6
507.0,6
507.0,6
508.0,6
510.0,6
511.0,6
512.0,6
513.0,6
514.0,6
516.0,6
516.0,6
517.0,6
518.0,6
520.0,6
522.0,6
523.0,6
524.0,6
524.0,6
525.0,6
527.0,6
527.0,6
529.0,6
534.0,6
536.0,6
538.0,6
540.0,6
540.0,6
540.0,6
540.0,6
541.0,6
541.0,6
542.0,6
544.0,6
545.0,6
546.0,6
547.0,6
550.0,6
551.0,6
552.0,6
553.0,6
554.0,6
556.0,6
556.0,6
557.0,6
559.0,6
560.0,6
561.0,6
565.0,6
565.0,6
568.0,6
569.0,6
570.0,6
571.0,6
572.0,6
572.0,6
575.0,6
575.0,6
576.0,6
579.0,6
583.0,6
583.0,6
585.0,6
586.0,6
588.0,6
590.0,6
592.0,6
593.0,6
594.0,6
594.0,6
594.0,6
598.0,6
599.0,6
599.0,6
600.0,6
600.0,6
602.0,6
605.0,6
606.0,6
607.0,6
608.0,6
609.0,6
610.0,6
611.0,6
612.0,6
613.0,6
614.0,6
615.0,6
615.0,6
618.0,6
619.0,6
621.0,6
622.0,6
623.0,6
625.0,6
627.0,6
627.0,6
628.0,6
628.0,6
630.0,6
632.0,6
634.0,6
635.0,6
637.0,6
638.0,6
640.0,6
641.0,6
642.0,6
643.0,6
643.0,6
644.0,6
645.0,6
646.0,6
647.0,6
647.0,6
648.0,6
649.0,6
649.0,6
650.0,6
653.0,6
654.0,6
655.0,6
655.0,6
655.0,6
656.0,6
657.0,6
658.0,6
659.0,6
660.0,6
660.0,6
661.0,6
662.0,6
663.0,6
668.0,6
669.0,6
669.0,6
670.0,6
670.0,6
671.0,6
672.0,6
672.0,6
672.0,6
674.0,6
676.0,6
676.0,6
677.0,6
679.0,6
680.0,6
683.0,6
684.0,6
685.0,6
685.0,6
686.0,6
686.0,6
687.0,6
688.0,6
689.0,6
690.0,6
690.0,6
691.0,6
692.0,6
694.0,6
696.0,6
696.0,6
696.0,6
697.0,6
697.0,6
698.0,6
700.0,6
701.0,6
701.0,6
703.0,6
707.0,6
708.0,6
709.0,6
709.0,6
711.0,6
712.0,6
712.0,6
714.0,6
716.0,6
716.0,6
717.0,6
718.0,6
718.0,6
720.0,6
721.0,6
722.0,6
724.0,6
724.0,6
726.0,6
728.0,6
729.0,6
729.0,6
730.0,6
730.0,6
731.0,6
731.0,6
732.0,6
733.0,6
733.0,6
735.0,6
736.0,6
738.0,6
740.0,6
740.0,6
740.0,6
742.0,6
745.0,6
746.0,6
746.0,6
747.0,6
748.0,6
749.0,6
750.0,6
751.0,6
751.0,6
751.0,6
752.0,6
755.0,6
757.0,6
758.0,6
759.0,6
760.0,6
762.0,6
762.0,6
763.0,6
764.0,6
764.0,6
765.0,6
768.0,6
768.0,6
768.0,6
769.0,6
770.0,6
770.0,6
773.0,6
773.0,6
773.0,6
774.0,6
776.0,6
778.0,6
780.0,6
787.0,6
788.0,6
789.0,6
790.0,6
791.0,6
791.0,6
794.0,6
798.0,6
799.0,6
799.0,6
801.0,6
802.0,6
803.0,6
804.0,6
807.0,6
810.0,6
811.0,6
811.0,6
812.0,6
814.0,6
815.0,6
816.0,6
816.0,6
817.0,6
820.0,6
823.0,6
825.0,6
826.0,6
827.0,6
828.0,6
829.0,6
830.0,6
832.0,6
833.0,6
835.0,6
837.0,6
838.0,6
843.0,6
844.0,6
846.0,6
846.0,6
847.0,6
847.0,6
848.0,6
848.0,6
848.0,6
848.0,6
853.0,6
853.0,6
854.0,6
856.0,6
863.0,6
864.0,6
866.0,6
867.0,6
869.0,6
870.0,6
871.0,6
873.0,6
875.0,6
876.0,6
879.0,6
879.0,6
880.0,6
882.0,6
883.0,6
883.0,6
886.0,6
887.0,6
889.0,6
890.0,6
891.0,6
892.0,6
895.0,6
897.0,6
904.0,6
904.0,6
905.0,6
906.0,6
907.0,6
910.0,6
911.0,6
913.0,6
913.0,6
914.0,6
914.0,6
915.0,6
915.0,6
917.0,6
919.0,6
919.0,6
922.0,6
923.0,6
924.0,6
924.0,6
925.0,6
928.0,6
930.0,6
931.0,6
931.0,6
934.0,6
935.0,6
937.0,6
940.0,6
944.0,6
948.0,6
949.0,6
950.0,6
951.0,6
952.0,6
952.0,6
953.0,6
954.0,6
960.0,6
961.0,6
964.0,6
965.0,6
966.0,6
967.0,6
969.0,6
969.0,6
970.0,6
971.0,6
973.0,6
974.0,6
975.0,6
976.0,6
976.0,6
977.0,6
979.0,6
980.0,6
982.0,6
984.0,6
985.0,6
985.0,6
986.0,6
987.0,6
988.0,6
988.0,6
991.0,6
994.0,6
994.0,6
994.0,6
995.0,6
999.0,6
1004.0,6
1006.0,6
1008.0,6
1008.0,6
1009.0,6
1015.0,6
1015.0,6
1015.0,6
1016.0,6
1018.0,6
1020.0,6
1021.0,6
1022.0,6
1022.0,6
1024.0,6
1029.0,6
1030.0,6
1032.0,6
1033.0,6
1033.0,6
1034.0,6
1035.0,6
1036.0,6
1036.0,6
1037.0,6
1038.0,6
1041.0,6
1046.0,6
1047.0,6
1048.0,6
1051.0,6
1052.0,6
1052.0,6
1053.0,6
1054.0,6
1054.0,6
1056.0,6
1056.0,6
1057.0,6
1059.0,6
1060.0,6
1062.0,6
1063.0,6
1064.0,6
1065.0,6
1066.0,6
1067.0,6
1068.0,6
1069.0,6
1070.0,6
1073.0,6
1073.0,6
1074.0,6
1074.0,6
1076.0,6
1076.0,6
1077.0,6
1077.0,6
1080.0,6
1081.0,6
1081.0,6
1082.0,6
1083.0,6
1084.0,6
1086.0,6
1087.0,6
1088.0,6
1088.0,6
1089.0,6
1091.0,6
1093.0,6
1093.0,6
1094.0,6
1095.0,6
1097.0,6
1100.0,6
1101.0,6
1103.0,6
1103.0,6
1106.0,6
1107.0,6
1107.0,6
1108.0,6
1109.0,6
1109.0,6
1114.0,6
1116.0,6
1116.0,6
1116.0,6
1122.0,6
1122.0,6
1123.0,6
1123.0,6
1124.0,6
1124.0,6
1125.0,6
1127.0,6
1131.0,6
1131.0,6
1132.0,6
1134.0,6
1135.0,6
1136.0,6
1137.0,6
1141.0,6
1141.0,6
1142.0,6
1143.0,6
1144.0,6
1145.0,6
1146.0,6
1147.0,6
